x  | x div 3 | x mod 3
---|---------|---------
0  |     0     |     0    
1  |     0     |     1    
2  |     0     |     2    
3  |     1     |     0    
4  |     1     |     1    
5  |     1     |     2    
6  |     2     |     0    
7  |     2     |     1    
8  |     2     |     2    
9  |     3     |     0    
10 |     3     |     1    
11 |     3     |     2    
12 |     4     |     0    
13 |     4     |     1    
14 |     4     |     2    
15 |     5     |     0    
16 |     5     |     1    
17 |     5     |     2    
18 |     6     |     0    
19 |     6     |     1    
20 |     6     |     2    
21 |     7     |     0    
22 |     7     |     1    
23 |     7     |     2    
24 |     8     |     0    
25 |     8     |     1    
26 |     8     |     2    
27 |     9     |     0    
28 |     9     |     1    
29 |     9     |     2    
30 |    10     |     0    
